response,multiple explanatory variables /more complex,explain more variation/error,ss model larger,ss total same,less error left,not necessarily better,cost of variables,overlap,pre larger,distance to model / deviation from the model,combined models,reducing empy model error,statistically significant predictors,better predictions,notes
"The more variables we use to explain the data, the less likely we are to have error. So if you use one variable, you will have much more error than you would if you had 10 explanatory variables.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because we have spent more degrees of freedom to get the model. Therefore the error explained by both samples are added together to create a new model. So since both models explained some variation and reduced some error, I would expect them to reduce the total error if both are added together.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,spending degrees of freedom
"Because the chocolate model explains some variation, and the sugarpercent model explains some variation, these two combine to explain more variation than having just one of them as the explanatory variable. Therefore, SS error is reduced.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
"This is true because the two-predictor model explains more variation than either the chocolate model or sugarpercent model. This means that the two-predictor model can make more accurate predictions. So, the error between the data point and prediction should be less for the two-predictor model, thus making SS error lower as well.",0,1,0,0,0,0,0,0,0,1,0,0,0,1,
"there is more explanation with 2 predictors, aka there is more information to help reduce error",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because in general the more predictors you add the more error is explained, albeit in a less meaningful way with a lower F value.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,
"This is because the chocolate model and the sugarpercent model both explain variation in the empty model and by using both explanatory variables to explain the outcome variable, we are able to get a better prediction of the winpercent in a candy. Therefore, the SS Model will increase since you have more explanatory variables that both explain variation in the empty model for winpercent.",1,1,1,0,0,0,0,0,0,0,1,0,0,1,
"Since there are two variables trying to explain the chocolate model, the overall leftover error resulting from this model should be lower since there are more variables trying to explain a single outcome. The more variables that are added on should lead to a decrease in the SS error.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The two-predictor model is considered to be more complex than either the chocolate model or the sugarpercent model because it requires more parameters than either models do individually. Therefore, expecting to see an increase in SS model, SS error should be lower.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because SS error measures the sum of squares error between the empty model (grand mean) and the complex model. If the new complex model has additional parameters, it should theoretically be able to produce more accurate predictions and sample statistics than either one of the other two models. This means that the new complex model would have a higher SSmodel which measures the amount of error reduced. And since SStotal must always remain constant, SSerror must decrease.",1,0,1,1,0,0,0,0,0,0,0,0,0,1,
"The PRE can be determined by calculating SS Model/ SS Total. If the PRE value would increase due to having both sugar and chocolate as a predictor, that would mean the SS model would have to be bigger. Therefore, SS Error, which is SS Total - SS Model, would be smaller.",1,0,1,1,0,0,0,0,1,0,0,0,0,0,
"It is true because together, the two variables explain more variation than separately and so the SS error in the model should decrease. Knowing the chocolate and sugarpercent of a model helps you make more accurate predictions of the true winpercent. Therefore, the SS error will decrease.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"The fact that there are two explanatory variables being tested to explain variation decreases the chances of there being residuals or errors compared to an empty model. In other words, the two predictor model is taking it one step further to explain the variation that is decreasing the amount of error present because two variables are being used instead of just one.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because with greater explanatory variables, more variation should be explained compared to the empty model. So when another variable is added to the equation, the error between the predicted value and the actual value should decrease.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model because it uses both variables to gather data and should account for more variability. It takes more into account which lowers the ss error compared to the individual variables being taken into account.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This is true because since both models predict some variation in winpercent, together they would predict more variation than either the chocolate or sugarpercent model by itself. Since the two-predictor model can predict more variation in winpercent, there will be less errors for the model.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,
"Because by adding another parameter, you are reducing the variation as compared to the one-parameter model or empty model. The more explanatory variables added into a model, the more variation is explained in the outcome variable. So the total error (or leftover variation) decreases.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because both models explain some variation as shown by the SS Errors for each being less than the SS Total. So if we create a model that uses both predictors, it will in a sense ""add up"" the explanations of the variation and have a smaller SS Error than either previous model.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
"Regardless of the amount of variation that is explained, the a more complex model will always serve to make the estimates more specific, lowering the residuals, decreasing the SS Error. Even if the model does not explain enough variation to make it significant enough to reject the empty model, it will still explain a little bit since a new factor is added.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
because the 2 group model explains more variation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because SS error is the error that isn't explained after the explanatory variable(s), the two variables would account for more of the variation, causing a smaller SS error",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because when you add a new variable to a model , the SS error lowers. You are taking more into account but also using more degrees of freedom.",1,1,0,0,0,1,1,0,0,0,0,0,0,0,
"More of the error or ""other stuff"" is explained when we add another explanatory variable to our model. There is less left over error when our model is more complex and can provide more insight/explanation.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
With two predictors the model would explain more variation than one predictor so there would be less error from the two predictor model than the one predictor model.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This would be true because the two-predictor model should explain more of the error than either of the other two models. And since there is less error, if you add up the sum of the residuals, it would be lower than the SS Error of the other two.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
because we are adding in another explanatory variable thus we are reducing error even more,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Since with increased or additional parameters, the variation in the model is explained more due to which the SS error should decrease",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I should have a much lower SS error because now I have two explanatory variables ""Explaining"" variation in my outcome variable. Thus my combined error should be much lower because my model is explaining more of my total",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
It should have a lower SS error than either the chocolate model or the sugarpercent model because more parameters signify that winpercent is explained more,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the two combined would explain more variability, essentially reducing the error between  data point to the two-predictor model compared to one-predictor model",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because when you add another predictor you should be getting rid of error,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Since you are adding more explanatory factors, your model is going to be better than the empty model, so the error is going to be smaller. You have more information to explain your results, so the error will be smaller.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
There is less error in more complex models with more explanation of the outcome variables,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"SS error is the leftover amount of variation that isn't explained by the explanatory variables. The two-predictor model should therefore have a lower SS error because it spends an extra degree of freedom on incorporating another explanatory variable, which should help explain more variation.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,spends a degree of freedom
"There should be less error because the two-predictor model will explain more of the empty model, so there will be less error.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Using more explanatory variables and bigger samples allows for more variation to be explained. Therefore, resluting in less error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
PRE and thus SS Model would've increased due to more explanatory variables,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
"if the two predictors each explain variation in winpercent, then together they should explain more variation than just one by itself",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
"The two-predictor model has one additional parameter, meaning it accounts for more explained variation. Because it explains more variation, it has a lower sum of squares.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model because when combining the two explanatory variables together, the SS error should be reduced since now its being explained double times, by the two different predictors together. The two-predictor model should explain more variation within the data.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"SS error is the error from the data point to the complex model, which is the two-predictor model. This model is going to be more accurate, since it predicts the value for winpercent based on two parameters instead of just one, like the chocolate model and sugarpercent model. Chances are, the prediction for the data point, with knowledge of both variables, will be more accurate than guessing the prediction based on each of those variables individually",1,0,0,0,0,0,0,0,0,1,0,0,0,1,
"I think that it should have a lower SS error than the prior two models because it uses both predictors and each predictor reduced a proportion of the error. So, when combined, the amount of error reduced would be higher.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,
"The more predictors we add, the more closely the model will reflect the data. Taking chocolate and sugarpercent into account allows us to make better estimates of a candy's winpercent. Because of these better estimates, the distance between the data and the model (the SS error) will be smaller.",1,0,0,0,0,0,0,0,0,1,1,0,0,1,
"It should be lower because since the two-predictor model would explain more of the variation than either the sugarpercent or chocolate model alone, then the SS model should be higher, the SS error should be lower, and the PRE should be higher for the two-predictor model.",0,1,1,0,0,0,0,0,1,0,0,0,0,0,
"This is true because instead of one explanatory variable we now have 2 to explain the variation in the outcome model. Therefore, the SS model will increase and hence the SS Error will decrease.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because two explanatory variables together would give more of an explanation for variation than either one alone so since they would explain more, the error should be lower",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because as we add parameters it should better explain variation. So we should see our sum of squares error (which tells us the error from our new complex model) to be lower than the error from the previous models with less parameters.,1,1,0,0,0,0,0,0,0,1,0,0,0,0,
"If you have more explanatory variables, it ""covers more ground"" so to speak, so more of the data is explained, leaving you with a smaller amount of incorrect points",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"I think that is because we added another variable to explain some of the variance and when it does that, it reduces SS error, moving it from SS error to SS model in the table.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"By adding more parameters, the error is reduced as more of the leftover ss becomes explained by the added predictors.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"If the two-predictor model has a lower SS error than either the chocolate model or the sugarpercent model, that means that it explains more variability than chocolate or sugarpercent individually. This is because SS total will stay the same (because they have the same outcome variable), so if SS error is lower, then the SS model is greater, which is the amount of error reduced. I think the two-predictor model is better because it accounts for more variables (parameters) that affect the outcome variable. In other words, chocolate and sugarpercent together explains the winpercent better than either individually.",1,1,1,1,0,0,0,0,0,0,1,0,0,0,
"Because the two predictor model explains more error, there is less leftover error after using the two predictor model.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"This is because the two-predictor model would explain more variation than the chocolate and the sugarpercent model, thus it would have a higher SS model, and a lower SS error.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Because adding more explanatory variable increases the SS Model, leaving less unexplained variation from the Complex Model.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"Because it uses more parameters to predict the outcome, which is more effective than using less parameters",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
"The two-predictor model will explain more error than the other two models, because it is combining two different variables that both explain different amounts of reduction in error. Therefore SS model will increase, so SS error must decrease.",0,1,1,0,0,0,0,0,0,0,1,0,0,0,
It explains more variation than choco% and sugar%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because it reduces the error which means it reduces the distance from the model to the actual points/data so a lower SS is a sign of better model,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
"It should have lower SS error because since there are two groups, it is more likely that the data points are more easily estimated since by having more groups, we are getting more specific. The more specific we are, the more easier it is to explain data points and have less SSerror left over",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
I think that this is true because adding more variables allows you to reduce the overall error in the model and therefore allows the explanatory variables to have a higher proportion of variation that they can explain for the outcome variable.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,
"The two predicator model adds an additional variable, thus reducing the SS error.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This is because we are using two sets of data in predicting something closer to the population, more data=less SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Because there are 2 explanatory variables involved, the increase in number of parameter allows more of the error of the empty model to be explained by the complex model (SS model increases) which would consequentially decrease the error from the data to the complex model (SS error).",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"This is true because since there are now two explanatory variables and they will explain more variation. Therefore, there will be less unexplained variation.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"A lower SS error makes for a more accurate prediction of correlation.  Because there are more explanatory variables for the two-predictor model , the PRE and SS model go up, and the SS error goes down.",1,0,1,0,0,0,0,0,1,0,0,0,0,1,
"by using two predictors to explain variation, more error can be reduced from the empty model",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model alone because the two-predictor model explains more variation in the data. This two-predictor model uses both the chocolate and sugarpercent explanatory variables together as opposed to only one of them in either the chocolate model or sugarpercent model. The chocolate and sugarpercent model each help explain some of the variation in the data. By having both chocolate and sugarpercent as explanatory variables then, you would be explaining even more of the variation and therefore will have a lower SS error.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
Because more of variation is explained in a two-predictor model than a one-predictor model,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
It would have a lower SS error because we are now explaining more variation since we are using two variables to explain an outcome. This means that there is more chance that the likelihood of our estimate now would have a better chance of being correct.,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
"since there are more explanatory variables, more error is explained by the model thus there is less error around the model",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think by adding another explanatory variable, the model is better able to predict the outcome variable, as it covers more grounds. As such, the two-predictor model would leave a smaller amount of error unexplained by either of the earlier models.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,
because the SS model is always smaller than but I don't think it is true because mostly SS model is lower than total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SS error measures the data to the complex model. By adding another variable to the model, it reduces error and explains more of the variation. Therefore the model has a lower SS error.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,
Because it has another explanatory variable it explains more variation and therefore has less unexplained variation and error.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
the error could be lower because the two variables could account for more variation with in the data than either of them alone because the data could be related to one and not the other.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"true because there are two explanatory variables and they explain more variation. So, there will be less unexplained variation.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The two-predictor model is more complex than either the chocolate model or the sugarpercent model. Because it includes more variables, our SS Error was calculated by taking the difference from the data points to their groups' mean, which results in lower differences, and a lower sum of these differences.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,
Because the more variables you have would explain more variation/error,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
I think this is true because our complex model has two explanatory variables that are explaining for win percent. Given the fact that we now have two explanatory variables our SS model will be higher since we have two explanatory variables explaining for the same outcome variable.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
The SS error should be lower than either model because using 2 explanatory variables is bound to explain more error than 1 alone.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model should make better predictions of the actual values. Since the formula for SS error is the sum of (Yhat - Yi)^2, or what the model predicts minus what is observed, then the two-predictor model should be less variable and closer to the actual values due to the fact that there are more factors explaining correlation.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,
"It is true due to the fact that there are more parameters that are able to explain more of the variation observed in the sum of squares from the empty model. Therefore, the sum of squares error is combined explained variation from both the chocolate and the sugar percent model.",1,1,0,0,0,0,0,0,0,0,1,1,0,0,
"This is true because since there is another explanatory variable, that should minimize the error",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This model explains more variation than either of the other two models, which means that there would be less error left over in the Error (from model) section.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"if we are increasing our degrees of freedom and adopting more possibilities of probable explanation, our error should go down as more is being explained",1,1,0,0,0,0,0,0,0,0,0,0,0,0,degrees of freedom
It should have a lower SS error because there is more explanation and error is minimized.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"There will be more variables to further explain variation. Therefore, the SS error will be lower.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The SS error would be smaller because SS error is the difference between the SS total (which stays the same in this case) and the SS model. SS model has increased so therefore, when you subtract the SS total - SS model, the error is smaller than before.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
"Because we have used to variables to explain our outcome variable, it would be more likely that this combination would explain more variation. If a model was better at explaining more variation, SS Error should be smaller because that would mean the amount of unexplained error is smaller.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Maybe because we are now taking one extra variable into the equation with allows to to explain more and therefore get less error,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This is because we are using 2 variables to explain variation. The more we are taking into account, the more variation we can explain. The SS error is basically the error left over after we have taken into account the model. So after we take into account the model with more variables, we are explaining more variation and therefore we are reducing the error left over.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Since the model added another variable, the error from the empty model should be reduced since more of the model is being explained by the extra variable added. Since each of the variables showed at least a somewhat significant PRE separately, when they come together, the PRE and SS model should rise; thus lowering the SS error.",1,1,1,0,0,0,0,0,1,0,1,0,1,0,
"Because as more variables/predictors are taken into consideration when predicting the outcome variable (winpercent), the more accurate the predictions become which means there is less error.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Because it is the sum of squares from the winpercent to the complex model and since this model explains more variance since there are more parameters, the sum of squares should be less than the individual models with less parameters.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,
"This model is more complex meaning that it takes into accounts more variables and is likely to be more accurate than either of the two less complex models alone. By being more accurate, there is likely to be less error and therefore less sum of squared errors.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,
because the model has less error in predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"The SS error should be lower in the two predictor model because chocolate and sugarpercent explain some variation in each of the single predictor model. So, being that the two variables that explain some variation are used in the two-predictor model, the SS error should decrease while the SS model should increase.",0,1,1,0,0,0,0,0,0,0,1,0,0,0,
"The two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model because the two-predictor model, with two more explanatory variables, should be able to explain more variation. Thus, the error that is left should be reduced.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"There are now two predictors, and they are both statistically significant in predicting win percent. In the single predictor models, each model has SS error resulting in the other factor being missing and unaccounted for. Since SS error is based on left over residuals, and the two predictor model now accounts for more variance, there is a lower SS error.",1,1,0,0,1,0,0,0,0,0,0,0,1,0,
"I think this is true because if the model were to explain more of the variation (with sugarpercent and chocolate both as explanatory variables), then the error would be reduced. Hence, SS error goes down.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because you're using one more variable to explain winpercent. The more explanatory variables you have, the lower the SS error is because there are more factors explaining the outcome variable.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"With a more complex model comes a more explanation as to why the outcome is what it is. If our new model provides a greater explanation for variance, then SS Model should increase, and therefore, SS Error will decrease, given that SS Total remains the same with both the old and new model. The SS Total stays the same because the outcome variable is still the same.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
This could be true because your getting rid of as much error as possible every time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The SS error says how much error is left over from the model. If you are adding another explanatory variable to the test, you are going to be able to explain even more of the variation in the outcome variable compared to if you were just using one of the models. This, thus, will reduce the error as there is less error to explain due to the beneficial, extra explanatory variable.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This more complex model is able to better fit the sample data because it accounts for more variation - so the SS model increases. Because of this, the SS error is lower.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"There should be a lower SSerror, because since you put in another predictor that could explain the variation in the data, you will have a smaller sum of squares around your residual line. The more predictors you have to account for the residuals, smaller your sum of squares error.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,
"Even though sugarpercent explains less variation than chocolate, it still explains some variation, so when the variation is added together, it reduces the SS error in the model .",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
"The two-predictor should have a lower SS error because  the with the 2 predictor variables, it would cause it to explain more variation or reduce error, increasing the SS model and lowering SS error.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
Each predictor should explain some variance to varying degrees. Combining the predictors will explain more variance because it includes more variables to consider and eliminate more of the error.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"A lower SS error is determined from the data to the complex model's prediction. If the SS error is lower, then the SS model will be higher. A higher SS model shows that the model is able to explain more variation. Adding more explanatory variables explains more variation in the outcome variable. Therefore, the two-predictor model will have a lower SS error than either the chocolate model or the sugarpercent model (single-predictor models).",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because we are using two explanatory variables to account for the variation in the outcome variable. If we are increasing our parameters, then we are also decreasing the amount of error there is since both variables can account for more of the variation in the empty model compared to just one variable.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Combining both chocolate and sugarpercent makes the sample larger and the larger the sample the lower the SS error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sample size
There are more variables that will help explain the variance in the data. There might be better correlation and will explain more variance together than separately,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model is more accurate than just one. You have more information therefore the error of sum of squares should decrease.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
"I think that the two-predictor model should have a lower SS error than the chocolate or sugarpercent model because SS error is the residuals left over after some of the total variation is explained by the difference in group means. When more variables are used to explain the outcome variable, it results with a lower error as more total variation can account for the errors.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Because SS error refers to the distance between the actual value and the group mean, meaning that if we are adding another explanatory variable more of the variation should be explained and therefore leaving less unexplained error which results in lower sum of squares error overall.",1,1,0,0,1,0,0,0,0,1,0,0,0,0,
"You are adding one more degree of freedom to the model, taking that away from the error. By doing so, you create less room for error to occur within your model. The more you add explanatory variables, the more unexplained variation, or error, is accounted for because you are splitting up the work by each variable. However, the more you increase the degrees of freedom, the less meaningful each explanatory factor becomes, because each variable explains a smaller sub-section of the error.",1,1,0,0,1,1,1,0,0,0,0,0,0,0,degrees of freedom
"It should have a lower SS error because it should have less residuals leftover. This is because adding another explanatory variable should be able to explain more variation and, thus, should, also leave less residual/error since the data should be more accurate.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the new model is explaining more variation. Therefore, more error is being explained and transferred to the Model SS.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The SS error would probably be lower because the more values there are, the bigger chance there is for values to be closer to the true mean which would decrease error.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,more values
"SS Error is made up of SSTotal (which is empty model) - SS Error(from the model). I think that it would have a lower SS error simply because it has two predictors instead of one. In this class, we learned that the more predictors, the more variation that model will be able to explain.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because we are adding two explanatory variables, so a greater share of the variation left unexplained from the empty model will be explained by the two-predictor model. SS Total will remain the same since it's based on the empty model, but the new complex model will explain more of the SS Total, so SS Model will increase, and therefore SS Error, the share of SS Total left unexplained by the new complex model, will decrease. SS Total is the sum of SS Model and SS Error, so when variation is explained and SS Model increases, SS Error has to decrease.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
"I think this is true because the two-predictor model explains more variation in the outcome variable than with just one predictor, so the SS model will be higher, and thus the SS error lower. SS total remains the same.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
more sample size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sample size
Because you are explaining more variation in the model which would give you a lower error.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because this model explains the relationship better.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"it will better predict the data, so there will be less error between the models prediction and the vaue",0,0,0,0,0,0,0,0,0,1,0,0,0,1,
More of the variation was explained,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"You are using multiple variables to try and explain the variation within the model. This means that even if there is very small percentage of variation that it explains, it still takes a bit of the mystery out of what is causing the outcome variable. When you take multiple variables and use them to explain the outcomes we observed it becomes less and less guesswork each time.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
